rt,trial_index,subject,form_assignment,button_pressed,condition,topic,speaker,form,response,already_heard_by_speaker,Gender,Native_Speaker,Music_Ability,Age,Mobile
,9,j6jk395wtj,conventional,,request,temp,4,conventional,,No,Female,Yes,5,21,No
1312.675,10,j6jk395wtj,conventional,1,request,temp,4,conventional,Non-Request,No,Female,Yes,5,21,No
,11,j6jk395wtj,conventional,,question,piano,4,conventional,,No,Female,Yes,5,21,No
963.525,12,j6jk395wtj,conventional,1,question,piano,4,conventional,Non-Request,No,Female,Yes,5,21,No
,13,j6jk395wtj,conventional,,question,window,4,conventional,,No,Female,Yes,5,21,No
1792.825,14,j6jk395wtj,conventional,0,question,window,4,conventional,Request,No,Female,Yes,5,21,No
,15,j6jk395wtj,conventional,,question,door,4,conventional,,No,Female,Yes,5,21,No
423.21,16,j6jk395wtj,conventional,0,question,door,4,conventional,Request,Yes,Female,Yes,5,21,No
,17,j6jk395wtj,conventional,,question,Spanish,4,conventional,,No,Female,Yes,5,21,No
1614.66,18,j6jk395wtj,conventional,0,question,Spanish,4,conventional,Request,No,Female,Yes,5,21,No
,19,j6jk395wtj,conventional,,question,temp,4,conventional,,No,Female,Yes,5,21,No
2149.23,20,j6jk395wtj,conventional,0,question,temp,4,conventional,Request,Yes,Female,Yes,5,21,No
,21,j6jk395wtj,conventional,,request,window,4,conventional,,No,Female,Yes,5,21,No
1036.825,22,j6jk395wtj,conventional,0,request,window,4,conventional,Request,Yes,Female,Yes,5,21,No
,23,j6jk395wtj,conventional,,request,piano,4,conventional,,No,Female,Yes,5,21,No
1083.64,24,j6jk395wtj,conventional,1,request,piano,4,conventional,Non-Request,Yes,Female,Yes,5,21,No
,25,j6jk395wtj,conventional,,request,box,4,conventional,,No,Female,Yes,5,21,No
479.955,26,j6jk395wtj,conventional,0,request,box,4,conventional,Request,Yes,Female,Yes,5,21,No
,27,j6jk395wtj,conventional,,request,Spanish,4,conventional,,No,Female,Yes,5,21,No
1193.515,28,j6jk395wtj,conventional,1,request,Spanish,4,conventional,Non-Request,Yes,Female,Yes,5,21,No
,29,j6jk395wtj,conventional,,request,temp,5,conventional,,No,Female,Yes,5,21,No
691.8,30,j6jk395wtj,conventional,0,request,temp,5,conventional,Request,No,Female,Yes,5,21,No
,31,j6jk395wtj,conventional,,question,Spanish,5,conventional,,No,Female,Yes,5,21,No
709.655,32,j6jk395wtj,conventional,1,question,Spanish,5,conventional,Non-Request,No,Female,Yes,5,21,No
,33,j6jk395wtj,conventional,,question,piano,5,conventional,,No,Female,Yes,5,21,No
848.43,34,j6jk395wtj,conventional,1,question,piano,5,conventional,Non-Request,No,Female,Yes,5,21,No
